Region,years,products,Productivity (kg/ ha),Production (t),Area (ha) 
PT,1986,Ameixa,6006.0,13898.0,2314.0
PT,1986,Amêndoa,848.0,35144.0,41445.0
PT,1986,Arroz,4463.0,146618.0,32852.0
PT,1986,Aveia,1181.0,152727.0,129351.0
PT,1986,Avelã,1334.0,1611.0,1208.0
PT,1986,Azeitona de mesa,1961.0,21078.0,10750.0
PT,1986,Azeitona para azeite,1018.0,334800.0,328761.0
PT,1986,Batata,12885.0,1576516.0,122356.0
PT,1986,Batata de regadio,13729.0,1152993.0,83982.0
PT,1986,Batata de sequeiro,11149.0,364103.0,32659.0
PT,1986,Beterraba,50013.0,39310.0,786.0
PT,1986,Castanha,1137.0,16565.0,14570.0
PT,1986,Centeio,1059.0,112393.0,106118.0
PT,1986,Cereais para grão,1882.0,1654610.0,878969.0
PT,1986,Cereja,3072.0,9757.0,3176.0
PT,1986,Cevada,1222.0,89617.0,73325.0
PT,1986,Citrinos,7820.0,186423.0,23838.0
PT,1986,Damasco,6593.0,4615.0,700.0
PT,1986,Diospiro,3333.0,4063.0,1219.0
PT,1986,Feijão,539.0,33900.0,62894.0
PT,1986,Figo,1265.0,13655.0,10792.0
PT,1986,Ginja,1409.0,748.0,531.0
PT,1986,Girassol,749.0,32907.0,43958.0
PT,1986,Grão-de-bico,554.0,3680.0,6647.0
PT,1986,Laranja,8500.0,150434.0,17698.0
PT,1986,Limão,5000.0,9115.0,1823.0
PT,1986,Lúpulo,2018.0,329.0,163.0
PT,1986,Marmelo,7995.0,5237.0,655.0
PT,1986,Maçã,10000.0,238560.0,23856.0
PT,1986,Milho,2953.0,627994.0,212686.0
PT,1986,Milho regadio,3145.0,581433.0,184887.0
PT,1986,Milho sequeiro,1310.0,29936.0,22851.0
PT,1986,Nespera,3036.0,1348.0,444.0
PT,1986,Noz,2000.0,2800.0,1400.0
PT,1986,Olival,1048.0,355878.0,339511.0
PT,1986,Principais culturas para indústria,11235.0,733284.0,65267.0
PT,1986,Principais frutos de casca rija,957.0,56120.0,58623.0
PT,1986,Principais frutos frescos,6370.0,455094.0,71447.0
PT,1986,Principais leguminosas secas,540.0,37580.0,69541.0
PT,1986,Pêra,7239.0,95839.0,13239.0
PT,1986,Pêssego,4641.0,65579.0,14131.0
PT,1986,Romã,4603.0,1795.0,390.0
PT,1986,Tabaco,2139.0,4277.0,2000.0
PT,1986,Tangera,4023.0,3500.0,870.0
PT,1986,Tangerina,6886.0,22503.0,3268.0
PT,1986,Tomate para indústria,35755.0,656461.0,18360.0
PT,1986,Toranja,4867.0,871.0,179.0
PT,1986,Trigo,1630.0,500261.0,306843.0
PT,1986,Trigo duro,1250.0,35000.0,28000.0
PT,1986,Trigo mole,1669.0,465261.0,278843.0
PT,1986,Triticale,1405.0,25000.0,17794.0
PT,1986,Uva de mesa,6720.0,51168.0,7614.0
PT,1986,Uva para vinho,4122.0,1034621.0,250979.0
PT,1986,Vinha,4199.0,1085789.0,258593.0
PT,1987,Ameixa,6266.0,15947.0,2545.0
PT,1987,Amêndoa,996.0,41428.0,41610.0
PT,1987,Arroz,4322.0,141702.0,32790.0
PT,1987,Aveia,1183.0,155229.0,131211.0
