
Quadro extraído em 14 de Outubro de 2022 (11:54:33)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Consumo de energia elétrica (kWh) por Localização geográfica (NUTS - 2013) e Tipo de consumo -  Anual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Período de referência dos dados (2) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2020;;;;;;;;2019;;;;;;;;2018;;;;;;;;2017;;;;;;;;2016;;;;;;;;2015;;;;;;;;2014;;;;;;;;2013;;;;;;;;2012;;;;;;;;2011;;;;;;;;
;Tipo de consumo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;
;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;
PT: Portugal;47271810149 &;13650940341 &;10921847403 &;18645930958 &;1011923494 &;1266471319 &;1362606988 &;412089646 &;48810497122 &;13029037954 &;11985088151 &;19302179855 &;1076212102 &;1314810255 &;1601754342 &;501414463 &;48893842496;13238551978;11913902550;19075553120;1090577119;1413574283;1670188191;491495255;47662812148;12525742998;11792314413;18728917282;1065613457;1451442889;1621345644;477435465;47359322698;12940175792;11893934528;18108120653;894371015;1458965653;1639424099;424330958;46841248958;12752766123;11624372758;18017080903;910861812;1472680898;1631002838;428931874;46146734013;12804302154;11506015135;17587363646;828490560;1477934199;1525652101;416976218;46230801149;12311175508;12157603380;17037049543;925069897;1469931557;2034281046;295690218;47130362835;12898001944;12128235362;17291036786;1003089315;1554672003;1892008367;363319058;49153243791;13754768280;11959862384;17691584170;980854386;1671184707;2697614216;397375648;
1: Continente;45781214016 &;13114817989 &;10374691420 &;18412644030 &;990998440 &;1170405494 &;1306433545 &;411223098 &;47239071968 &;12520127929 &;11337651944 &;19069093254 &;1056457452 &;1214377077 &;1540733111 &;500631201 &;47339431960;12732611877;11289325529;18850660041;1071218140;1311417640;1592703478;491495255;46115055611;12037440679;11156966242;18505482606;1047553758;1348917277;1541259584;477435465;45823344282;12441976257;11276578368;17883794757;876621126;1355229648;1564813168;424330958;45319068717;12262055597;11051100295;17817154352;888385826;1370426265;1497462756;428931874;44628635055;12307634437;10892031011;17387614960;808507583;1370242487;1445628359;416976218;44716464110;11820461152;11614767633;16838315401;902157004;1358794793;1886277909;295690218;45566841544;12398309812;11542585028;17077053699;983195126;1442495299;1759883522;363319058;47519419080;13225194917;11346878591;17478695557;958261642;1552603004;2560409721;397375648;
11: Norte;14584730233 &;4740302951 &;3231344175 &;5577537607 &;172649177 &;417791639 &;413470892 &;31633792 &;14990396444 &;4494673798 &;3523411456 &;5880036639 &;185510083 &;436549891 &;439633703 &;30580874 &;15125270200;4590900071;3566395938;5827216272;196605394;461430684;452999782;29722059;14754908542;4382602275;3529696759;5738602393;182800229;477899472;408774545;34532869;14745403153;4572005618;3583676645;5530336257;140830846;476768493;411741286;30044008;14462201854;4482659623;3492012597;5430419364;137204264;489733680;400553219;29619107;14225418075;4521682826;3428869002;5250356226;131740822;476145909;389019974;27603316;14261307615;4348075088;3656312624;5068921609;140810458;468899564;551028285;27259987;14529636535;4541931713;3525059805;5299930920;137514330;481473494;510157096;33569177;15222526665;4833398335;3491026440;5376864648;145267878;563001628;774540565;38427171;
111: Alto Minho;1093385466 &;310392243 &;166639796 &;548988629 &;8843332 &;35763313 &;22755144 &;3009 &;1109785159 &;296720510 &;180311364 &;562368757 &;10352883 &;35700820 &;24330825 &;0 &;1095893891;306093049;181926185;528071876;12779035;38836545;28177443;9758;1046378243;302757934;174911062;488238829;16087923;37597978;26784517;0;1056649365;313465043;175163351;487199453;13260876;39042340;28499358;18944;1022993191;305122227;169213289;471609488;12645731;38456620;25928272;17564;1000576591;303547933;167766344;453622504;12689776;38213687;24721439;14908;1004039951;276142349;195719002;456225596;5013231;36493703;34443502;2568;988397687;276018685;201613592;440813523;5180948;35656654;29080080;34205;1039900780;297243113;225486120;429991183;6614136;42409361;38125491;31376;
1111601: Arcos de Valdevez;112378136 &;26329808 &;12248888 &;66717636 &;1193982 &;3512511 &;2375311 &;0 &;116059866 &;25057903 &;13436852 &;70816887 &;362703 &;3786092 &;2599429 &;0 &;116755475;26211217;15733228;67996763;269557;3830884;2713826;0;109228062;36337488;12730337;50984684;3706538;2999466;2469549;0;107794953;37912018;13234053;48440776;1289198;4330422;2588486;0;93884799;36667054;12448744;37714446;1382701;3507058;2164796;0;88144457;35457462;12500159;33061174;1416626;3687833;2021203;0;86131886;22696416;14758548;41718553;317064;3546423;3094683;199;82477832;22080572;14508508;39309727;341772;3496085;2741096;72;84268618;23710334;14637089;39132256;394371;3035381;3359044;143;
